naics	susb_statenaics_firms	yr	state
11	26	2001	AL
21	58	2001	AL
22	35	2001	AL
23	361	2001	AL
31	1091	2001	AL
42	837	2001	AL
44	862	2001	AL
48	317	2001	AL
51	156	2001	AL
52	308	2001	AL
53	161	2001	AL
54	412	2001	AL
55	328	2001	AL
56	428	2001	AL
61	102	2001	AL
62	520	2001	AL
71	71	2001	AL
72	475	2001	AL
81	330	2001	AL
95	101	2001	AL
99	0	2001	AL
11	11	2001	AK
21	41	2001	AK
22	13	2001	AK
23	55	2001	AK
31	44	2001	AK
42	140	2001	AK
44	171	2001	AK
48	113	2001	AK
51	41	2001	AK
52	76	2001	AK
53	41	2001	AK
54	94	2001	AK
55	54	2001	AK
56	88	2001	AK
61	17	2001	AK
62	98	2001	AK
71	12	2001	AK
72	92	2001	AK
81	65	2001	AK
95	20	2001	AK
99	0	2001	AK
11	15	2001	AZ
21	36	2001	AZ
22	32	2001	AZ
23	672	2001	AZ
31	803	2001	AZ
42	983	2001	AZ
44	967	2001	AZ
48	250	2001	AZ
51	238	2001	AZ
52	489	2001	AZ
53	272	2001	AZ
54	627	2001	AZ
55	400	2001	AZ
56	689	2001	AZ
61	147	2001	AZ
62	534	2001	AZ
71	169	2001	AZ
72	706	2001	AZ
81	385	2001	AZ
95	160	2001	AZ
99	0	2001	AZ
11	22	2001	AR
21	39	2001	AR
22	25	2001	AR
23	155	2001	AR
31	681	2001	AR
42	523	2001	AR
44	536	2001	AR
48	190	2001	AR
51	96	2001	AR
52	218	2001	AR
53	103	2001	AR
54	157	2001	AR
55	193	2001	AR
56	213	2001	AR
61	61	2001	AR
62	402	2001	AR
71	37	2001	AR
72	356	2001	AR
81	174	2001	AR
95	59	2001	AR
99	0	2001	AR
11	125	2001	CA
21	122	2001	CA
22	69	2001	CA
23	2760	2001	CA
31	6711	2001	CA
42	4505	2001	CA
44	3537	2001	CA
48	1207	2001	CA
51	1408	2001	CA
52	1476	2001	CA
53	1063	2001	CA
54	3663	2001	CA
