state_name	susb_state_firms	yr	state
Alabama	6979	2001	AL
Alaska	1286	2001	AK
Arizona	8574	2001	AZ
Arkansas	4240	2001	AR
California	42338	2001	CA
Colorado	9003	2001	CO
Connecticut	6619	2001	CT
Delaware	2651	2001	DE
District of Columbia	2819	2001	DC
Florida	19378	2001	FL
Georgia	13886	2001	GA
Hawaii	2443	2001	HI
Idaho	2509	2001	ID
Illinois	20652	2001	IL
Indiana	10553	2001	IN
Iowa	5645	2001	IA
Kansas	5761	2001	KS
Kentucky	6931	2001	KY
Louisiana	7069	2001	LA
Maine	2489	2001	ME
Maryland	9268	2001	MD
Massachusetts	11981	2001	MA
Michigan	14122	2001	MI
Minnesota	9761	2001	MN
Mississippi	4216	2001	MS
Missouri	10183	2001	MO
Montana	1674	2001	MT
Nebraska	3743	2001	NE
Nevada	4643	2001	NV
New Hampshire	2897	2001	NH
New Jersey	13479	2001	NJ
New Mexico	3411	2001	NM
New York	23456	2001	NY
North Carolina	12404	2001	NC
North Dakota	1594	2001	ND
Ohio	17941	2001	OH
Oklahoma	5766	2001	OK
Oregon	6499	2001	OR
Pennsylvania	18497	2001	PA
Rhode Island	2319	2001	RI
South Carolina	6666	2001	SC
South Dakota	1764	2001	SD
Tennessee	9737	2001	TN
Texas	26812	2001	TX
Utah	4464	2001	UT
Vermont	1479	2001	VT
Virginia	11619	2001	VA
Washington	9813	2001	WA
West Virginia	2974	2001	WV
Wisconsin	9783	2001	WI
Wyoming	1273	2001	WY
Alabama	7122	2011	AL
Alaska	1490	2011	AK
Arizona	9070	2011	AZ
Arkansas	4735	2011	AR
California	37926	2011	CA
Colorado	9134	2011	CO
Connecticut	6420	2011	CT
Delaware	2868	2011	DE
District of Columbia	3216	2011	DC
Florida	19249	2011	FL
Georgia	13628	2011	GA
Hawaii	2639	2011	HI
Idaho	2911	2011	ID
Illinois	19183	2011	IL
Indiana	10315	2011	IN
Iowa	5872	2011	IA
Kansas	5952	2011	KS
Kentucky	6861	2011	KY
Louisiana	7487	2011	LA
Maine	2639	2011	ME
Maryland	9442	2011	MD
Massachusetts	11142	2011	MA
Michigan	12783	2011	MI
Minnesota	9850	2011	MN
Mississippi	4410	2011	MS
Missouri	10010	2011	MO
Montana	1999	2011	MT
Nebraska	4010	2011	NE
Nevada	5319	2011	NV
New Hampshire	3035	2011	NH
New Jersey	12785	2011	NJ
New Mexico	3675	2011	NM
New York	22943	2011	NY
North Carolina	12683	2011	NC
North Dakota	1945	2011	ND
Ohio	16461	2011	OH
Oklahoma	6279	2011	OK
Oregon	6677	2011	OR
Pennsylvania	18159	2011	PA
Rhode Island	2387	2011	RI
South Carolina	6909	2011	SC
South Dakota	2039	2011	SD
Tennessee	9761	2011	TN
Texas	29006	2011	TX
Utah	5040	2011	UT
Vermont	1575	2011	VT
Virginia	11952	2011	VA
Washington	9925	2011	WA
West Virginia	3079	2011	WV
Wisconsin	9688	2011	WI
Wyoming	1586	2011	WY
Alabama	7266	2012	AL
Alaska	1547	2012	AK
Arizona	9292	2012	AZ
